x,y,risk
-1948718.7104967523,-96168.32322269399,0
-1947718.7104967523,-96168.32322269399,0
-1946718.7104967523,-96168.32322269399,0
-1945718.7104967523,-96168.32322269399,0
-1944718.7104967523,-96168.32322269399,0
-1943718.7104967523,-96168.32322269399,0
-1942718.7104967523,-96168.32322269399,0
-1941718.7104967523,-96168.32322269399,0
-1940718.7104967523,-96168.32322269399,1
-1939718.7104967523,-96168.32322269399,1
-1938718.7104967523,-96168.32322269399,1
-1937718.7104967523,-96168.32322269399,0
-1936718.7104967523,-96168.32322269399,1
-1935718.7104967523,-96168.32322269399,0
-1934718.7104967523,-96168.32322269399,0
-1933718.7104967523,-96168.32322269399,1
-1932718.7104967523,-96168.32322269399,0
-1931718.7104967523,-96168.32322269399,0
-1930718.7104967523,-96168.32322269399,0
-1929718.7104967523,-96168.32322269399,0
-1928718.7104967523,-96168.32322269399,0
-1927718.7104967523,-96168.32322269399,0
-1926718.7104967523,-96168.32322269399,1
-1925718.7104967523,-96168.32322269399,0
-1924718.7104967523,-96168.32322269399,0
-1923718.7104967523,-96168.32322269399,0
-1922718.7104967523,-96168.32322269399,0
-1921718.7104967523,-96168.32322269399,0
-1920718.7104967523,-96168.32322269399,0
-1919718.7104967523,-96168.32322269399,0
-1918718.7104967523,-96168.32322269399,0
-1917718.7104967523,-96168.32322269399,1
-1916718.7104967523,-96168.32322269399,1
-1915718.7104967523,-96168.32322269399,1
-1914718.7104967523,-96168.32322269399,1
-1913718.7104967523,-96168.32322269399,1
-1912718.7104967523,-96168.32322269399,0
-1911718.7104967523,-96168.32322269399,0
-1910718.7104967523,-96168.32322269399,0
-1909718.7104967523,-96168.32322269399,0
-1908718.7104967523,-96168.32322269399,0
-1907718.7104967523,-96168.32322269399,0
-1906718.7104967523,-96168.32322269399,0
-1905718.7104967523,-96168.32322269399,1
-1904718.7104967523,-96168.32322269399,1
-1903718.7104967523,-96168.32322269399,1
-1902718.7104967523,-96168.32322269399,0
-1901718.7104967523,-96168.32322269399,1
-1900718.7104967523,-96168.32322269399,1
-1899718.7104967523,-96168.32322269399,0
-1898718.7104967523,-96168.32322269399,0
-1897718.7104967523,-96168.32322269399,0
-1896718.7104967523,-96168.32322269399,0
-1895718.7104967523,-96168.32322269399,0
-1894718.7104967523,-96168.32322269399,1
-1893718.7104967523,-96168.32322269399,1
-1892718.7104967523,-96168.32322269399,0
-1891718.7104967523,-96168.32322269399,4
-1890718.7104967523,-96168.32322269399,1
-1889718.7104967523,-96168.32322269399,2
-1888718.7104967523,-96168.32322269399,9
-1887718.7104967523,-96168.32322269399,19
-1886718.7104967523,-96168.32322269399,14
-1885718.7104967523,-96168.32322269399,15
-1884718.7104967523,-96168.32322269399,15
-1883718.7104967523,-96168.32322269399,10
-1882718.7104967523,-96168.32322269399,7
-1881718.7104967523,-96168.32322269399,9
-1880718.7104967523,-96168.32322269399,9
-1879718.7104967523,-96168.32322269399,14
-1878718.7104967523,-96168.32322269399,10
-1877718.7104967523,-96168.32322269399,9
-1876718.7104967523,-96168.32322269399,10
-1875718.7104967523,-96168.32322269399,7
-1874718.7104967523,-96168.32322269399,7
-1873718.7104967523,-96168.32322269399,0
-1872718.7104967523,-96168.32322269399,0
-1871718.7104967523,-96168.32322269399,0
-1870718.7104967523,-96168.32322269399,0
-1869718.7104967523,-96168.32322269399,0
-1868718.7104967523,-96168.32322269399,0
-1867718.7104967523,-96168.32322269399,0
-1866718.7104967523,-96168.32322269399,0
-1865718.7104967523,-96168.32322269399,0
-1864718.7104967523,-96168.32322269399,0
-1863718.7104967523,-96168.32322269399,0
-1862718.7104967523,-96168.32322269399,0
-1861718.7104967523,-96168.32322269399,1
-1860718.7104967523,-96168.32322269399,2
-1859718.7104967523,-96168.32322269399,2
-1858718.7104967523,-96168.32322269399,8
-1857718.7104967523,-96168.32322269399,8
-1856718.7104967523,-96168.32322269399,17
-1855718.7104967523,-96168.32322269399,14
-1854718.7104967523,-96168.32322269399,9
-1853718.7104967523,-96168.32322269399,6
-1852718.7104967523,-96168.32322269399,3
-1851718.7104967523,-96168.32322269399,8
-1850718.7104967523,-96168.32322269399,7
-1849718.7104967523,-96168.32322269399,6
-1848718.7104967523,-96168.32322269399,3
-1847718.7104967523,-96168.32322269399,5
-1846718.7104967523,-96168.32322269399,6
-1845718.7104967523,-96168.32322269399,251
-1844718.7104967523,-96168.32322269399,251
-1843718.7104967523,-96168.32322269399,251
-1842718.7104967523,-96168.32322269399,11
-1841718.7104967523,-96168.32322269399,10
-1840718.7104967523,-96168.32322269399,18
-1839718.7104967523,-96168.32322269399,19
-1838718.7104967523,-96168.32322269399,11
-1837718.7104967523,-96168.32322269399,12
-1836718.7104967523,-96168.32322269399,251
-1835718.7104967523,-96168.32322269399,251
-1834718.7104967523,-96168.32322269399,251
-1833718.7104967523,-96168.32322269399,251
-1832718.7104967523,-96168.32322269399,251
-1831718.7104967523,-96168.32322269399,8
-1830718.7104967523,-96168.32322269399,19
-1829718.7104967523,-96168.32322269399,251
-1828718.7104967523,-96168.32322269399,251
-1827718.7104967523,-96168.32322269399,9
-1826718.7104967523,-96168.32322269399,11
-1963718.7104967523,-97168.32322269399,0
-1962718.7104967523,-97168.32322269399,254
-1961718.7104967523,-97168.32322269399,0
-1960718.7104967523,-97168.32322269399,0
-1959718.7104967523,-97168.32322269399,0
-1958718.7104967523,-97168.32322269399,0
-1957718.7104967523,-97168.32322269399,0
-1956718.7104967523,-97168.32322269399,0
-1955718.7104967523,-97168.32322269399,0
-1954718.7104967523,-97168.32322269399,0
-1953718.7104967523,-97168.32322269399,0
-1952718.7104967523,-97168.32322269399,0
-1951718.7104967523,-97168.32322269399,0
-1950718.7104967523,-97168.32322269399,0
-1949718.7104967523,-97168.32322269399,0
-1948718.7104967523,-97168.32322269399,0
-1947718.7104967523,-97168.32322269399,0
-1946718.7104967523,-97168.32322269399,0
-1945718.7104967523,-97168.32322269399,1
-1944718.7104967523,-97168.32322269399,0
-1943718.7104967523,-97168.32322269399,0
-1942718.7104967523,-97168.32322269399,1
-1941718.7104967523,-97168.32322269399,1
-1940718.7104967523,-97168.32322269399,1
-1939718.7104967523,-97168.32322269399,1
-1938718.7104967523,-97168.32322269399,0
-1937718.7104967523,-97168.32322269399,1
-1936718.7104967523,-97168.32322269399,0
-1935718.7104967523,-97168.32322269399,0
-1934718.7104967523,-97168.32322269399,0
-1933718.7104967523,-97168.32322269399,0
-1932718.7104967523,-97168.32322269399,0
-1931718.7104967523,-97168.32322269399,0
-1930718.7104967523,-97168.32322269399,0
-1929718.7104967523,-97168.32322269399,0
-1928718.7104967523,-97168.32322269399,0
-1927718.7104967523,-97168.32322269399,0
-1926718.7104967523,-97168.32322269399,0
-1925718.7104967523,-97168.32322269399,0
-1924718.7104967523,-97168.32322269399,0
-1923718.7104967523,-97168.32322269399,0
-1922718.7104967523,-97168.32322269399,0
-1921718.7104967523,-97168.32322269399,0
-1920718.7104967523,-97168.32322269399,0
-1919718.7104967523,-97168.32322269399,0
-1918718.7104967523,-97168.32322269399,0
-1917718.7104967523,-97168.32322269399,1
-1916718.7104967523,-97168.32322269399,1
-1915718.7104967523,-97168.32322269399,1
-1914718.7104967523,-97168.32322269399,1
-1913718.7104967523,-97168.32322269399,1
-1912718.7104967523,-97168.32322269399,1
-1911718.7104967523,-97168.32322269399,1
-1910718.7104967523,-97168.32322269399,1
-1909718.7104967523,-97168.32322269399,0
-1908718.7104967523,-97168.32322269399,0
-1907718.7104967523,-97168.32322269399,0
-1906718.7104967523,-97168.32322269399,0
-1905718.7104967523,-97168.32322269399,1
-1904718.7104967523,-97168.32322269399,1
-1903718.7104967523,-97168.32322269399,1
-1902718.7104967523,-97168.32322269399,0
-1901718.7104967523,-97168.32322269399,1
-1900718.7104967523,-97168.32322269399,1
-1899718.7104967523,-97168.32322269399,1
-1898718.7104967523,-97168.32322269399,1
-1897718.7104967523,-97168.32322269399,1
-1896718.7104967523,-97168.32322269399,0
-1895718.7104967523,-97168.32322269399,0
-1894718.7104967523,-97168.32322269399,1
-1893718.7104967523,-97168.32322269399,1
-1892718.7104967523,-97168.32322269399,0
-1891718.7104967523,-97168.32322269399,3
-1890718.7104967523,-97168.32322269399,3
-1889718.7104967523,-97168.32322269399,3
-1888718.7104967523,-97168.32322269399,12
-1887718.7104967523,-97168.32322269399,22
-1886718.7104967523,-97168.32322269399,13
-1885718.7104967523,-97168.32322269399,18
-1884718.7104967523,-97168.32322269399,15
-1883718.7104967523,-97168.32322269399,11
-1882718.7104967523,-97168.32322269399,12
-1881718.7104967523,-97168.32322269399,7
-1880718.7104967523,-97168.32322269399,15
-1879718.7104967523,-97168.32322269399,8
-1878718.7104967523,-97168.32322269399,7
-1877718.7104967523,-97168.32322269399,11
-1876718.7104967523,-97168.32322269399,12
-1875718.7104967523,-97168.32322269399,8
-1874718.7104967523,-97168.32322269399,5
-1873718.7104967523,-97168.32322269399,0
-1872718.7104967523,-97168.32322269399,0
-1871718.7104967523,-97168.32322269399,0
-1870718.7104967523,-97168.32322269399,0
-1869718.7104967523,-97168.32322269399,0
-1868718.7104967523,-97168.32322269399,0
-1867718.7104967523,-97168.32322269399,0
-1866718.7104967523,-97168.32322269399,0
-1865718.7104967523,-97168.32322269399,0
-1864718.7104967523,-97168.32322269399,0
-1863718.7104967523,-97168.32322269399,0
-1862718.7104967523,-97168.32322269399,0
-1861718.7104967523,-97168.32322269399,2
-1860718.7104967523,-97168.32322269399,2
-1859718.7104967523,-97168.32322269399,2
-1858718.7104967523,-97168.32322269399,7
-1857718.7104967523,-97168.32322269399,14
-1856718.7104967523,-97168.32322269399,15
-1855718.7104967523,-97168.32322269399,12
-1854718.7104967523,-97168.32322269399,19
-1853718.7104967523,-97168.32322269399,6
-1852718.7104967523,-97168.32322269399,7
-1851718.7104967523,-97168.32322269399,3
-1850718.7104967523,-97168.32322269399,5
-1849718.7104967523,-97168.32322269399,8
-1848718.7104967523,-97168.32322269399,5
-1847718.7104967523,-97168.32322269399,4
-1846718.7104967523,-97168.32322269399,5
-1845718.7104967523,-97168.32322269399,251
-1844718.7104967523,-97168.32322269399,251
-1843718.7104967523,-97168.32322269399,251
-1842718.7104967523,-97168.32322269399,10
-1841718.7104967523,-97168.32322269399,10
-1840718.7104967523,-97168.32322269399,19
-1839718.7104967523,-97168.32322269399,22
-1838718.7104967523,-97168.32322269399,8
-1837718.7104967523,-97168.32322269399,14
-1836718.7104967523,-97168.32322269399,251
-1835718.7104967523,-97168.32322269399,251
-1834718.7104967523,-97168.32322269399,251
-1833718.7104967523,-97168.32322269399,251
-1832718.7104967523,-97168.32322269399,251
-1831718.7104967523,-97168.32322269399,7
-1830718.7104967523,-97168.32322269399,13
-1829718.7104967523,-97168.32322269399,251
-1828718.7104967523,-97168.32322269399,251
-1827718.7104967523,-97168.32322269399,12
-1826718.7104967523,-97168.32322269399,13
-1963718.7104967523,-98168.32322269399,1
-1962718.7104967523,-98168.32322269399,0
-1961718.7104967523,-98168.32322269399,0
-1960718.7104967523,-98168.32322269399,0
-1959718.7104967523,-98168.32322269399,0
-1958718.7104967523,-98168.32322269399,0
-1957718.7104967523,-98168.32322269399,0
-1956718.7104967523,-98168.32322269399,0
-1955718.7104967523,-98168.32322269399,0
-1954718.7104967523,-98168.32322269399,0
-1953718.7104967523,-98168.32322269399,0
-1952718.7104967523,-98168.32322269399,0
-1951718.7104967523,-98168.32322269399,0
-1950718.7104967523,-98168.32322269399,0
-1949718.7104967523,-98168.32322269399,0
-1948718.7104967523,-98168.32322269399,0
-1947718.7104967523,-98168.32322269399,0
-1946718.7104967523,-98168.32322269399,0
-1945718.7104967523,-98168.32322269399,0
-1944718.7104967523,-98168.32322269399,0
-1943718.7104967523,-98168.32322269399,0
-1942718.7104967523,-98168.32322269399,0
-1941718.7104967523,-98168.32322269399,0
-1940718.7104967523,-98168.32322269399,0
-1939718.7104967523,-98168.32322269399,0
-1938718.7104967523,-98168.32322269399,0
-1937718.7104967523,-98168.32322269399,1
-1936718.7104967523,-98168.32322269399,0
-1935718.7104967523,-98168.32322269399,0
-1934718.7104967523,-98168.32322269399,1
-1933718.7104967523,-98168.32322269399,0
-1932718.7104967523,-98168.32322269399,0
-1931718.7104967523,-98168.32322269399,0
-1930718.7104967523,-98168.32322269399,0
-1929718.7104967523,-98168.32322269399,0
-1928718.7104967523,-98168.32322269399,0
-1927718.7104967523,-98168.32322269399,0
-1926718.7104967523,-98168.32322269399,0
-1925718.7104967523,-98168.32322269399,0
-1924718.7104967523,-98168.32322269399,0
-1923718.7104967523,-98168.32322269399,0
-1922718.7104967523,-98168.32322269399,0
-1921718.7104967523,-98168.32322269399,0
-1920718.7104967523,-98168.32322269399,0
-1919718.7104967523,-98168.32322269399,1
-1918718.7104967523,-98168.32322269399,1
-1917718.7104967523,-98168.32322269399,1
-1916718.7104967523,-98168.32322269399,1
-1915718.7104967523,-98168.32322269399,1
-1914718.7104967523,-98168.32322269399,1
-1913718.7104967523,-98168.32322269399,1
-1912718.7104967523,-98168.32322269399,0
-1911718.7104967523,-98168.32322269399,1
-1910718.7104967523,-98168.32322269399,1
-1909718.7104967523,-98168.32322269399,0
-1908718.7104967523,-98168.32322269399,0
-1907718.7104967523,-98168.32322269399,0
-1906718.7104967523,-98168.32322269399,1
-1905718.7104967523,-98168.32322269399,1
-1904718.7104967523,-98168.32322269399,1
-1903718.7104967523,-98168.32322269399,1
-1902718.7104967523,-98168.32322269399,1
-1901718.7104967523,-98168.32322269399,1
-1900718.7104967523,-98168.32322269399,1
-1899718.7104967523,-98168.32322269399,1
-1898718.7104967523,-98168.32322269399,1
-1897718.7104967523,-98168.32322269399,1
-1896718.7104967523,-98168.32322269399,0
-1895718.7104967523,-98168.32322269399,0
-1894718.7104967523,-98168.32322269399,1
-1893718.7104967523,-98168.32322269399,0
-1892718.7104967523,-98168.32322269399,0
-1891718.7104967523,-98168.32322269399,3
-1890718.7104967523,-98168.32322269399,4
-1889718.7104967523,-98168.32322269399,5
-1888718.7104967523,-98168.32322269399,17
-1887718.7104967523,-98168.32322269399,22
-1886718.7104967523,-98168.32322269399,11
-1885718.7104967523,-98168.32322269399,4
-1884718.7104967523,-98168.32322269399,11
-1883718.7104967523,-98168.32322269399,6
-1882718.7104967523,-98168.32322269399,7
-1881718.7104967523,-98168.32322269399,16
-1880718.7104967523,-98168.32322269399,13
-1879718.7104967523,-98168.32322269399,10
-1878718.7104967523,-98168.32322269399,17
-1877718.7104967523,-98168.32322269399,12
-1876718.7104967523,-98168.32322269399,17
-1875718.7104967523,-98168.32322269399,8
-1874718.7104967523,-98168.32322269399,10
-1873718.7104967523,-98168.32322269399,0
-1872718.7104967523,-98168.32322269399,0
-1871718.7104967523,-98168.32322269399,0
-1870718.7104967523,-98168.32322269399,0
-1869718.7104967523,-98168.32322269399,0
-1868718.7104967523,-98168.32322269399,0
-1867718.7104967523,-98168.32322269399,0
-1866718.7104967523,-98168.32322269399,0
-1865718.7104967523,-98168.32322269399,0
-1864718.7104967523,-98168.32322269399,0
-1863718.7104967523,-98168.32322269399,0
-1862718.7104967523,-98168.32322269399,0
-1861718.7104967523,-98168.32322269399,4
-1860718.7104967523,-98168.32322269399,2
-1859718.7104967523,-98168.32322269399,2
-1858718.7104967523,-98168.32322269399,7
-1857718.7104967523,-98168.32322269399,6
-1856718.7104967523,-98168.32322269399,10
-1855718.7104967523,-98168.32322269399,9
-1854718.7104967523,-98168.32322269399,10
-1853718.7104967523,-98168.32322269399,15
-1852718.7104967523,-98168.32322269399,16
-1851718.7104967523,-98168.32322269399,12
